time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.182810e+00,4.121783e-01,4.121783e-01,1,1.000000e+00,3.054178e-05,3.054178e-04,1.527089e-04,1.517026e-17,4.887497e-21,1.536723e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.011598e+00,1.074342e-01,1.074342e-01,1,1.000000e+00,4.234411e-05,4.234411e-04,2.117205e-04,2.084309e-17,4.887497e-21,2.150117e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.193187e+00,4.228699e-01,4.228699e-01,1,1.000000e+00,2.996781e-05,2.996781e-04,1.498390e-04,1.489438e-17,4.887497e-21,1.506902e+09,0.000000e+00,0.000000e+00,1,0
1.102484e+00,1,2.168659e+00,3.969903e-01,3.969903e-01,1,1.000000e+00,3.134674e-05,3.134674e-04,1.567337e-04,1.555717e-17,4.887497e-21,1.578548e+09,0.000000e+00,0.000000e+00,26,0
1.102484e+00,2,2.012569e+00,1.118170e-01,1.118170e-01,1,1.000000e+00,4.226248e-05,4.226248e-04,2.113124e-04,2.080385e-17,4.887497e-21,2.145874e+09,0.000000e+00,0.000000e+00,26,0
1.102484e+00,3,2.172770e+00,4.014793e-01,4.014793e-01,1,1.000000e+00,3.111018e-05,3.111018e-04,1.555509e-04,1.544346e-17,4.887497e-21,1.566256e+09,0.000000e+00,0.000000e+00,26,0
1.204884e+00,1,2.155632e+00,3.823189e-01,3.823189e-01,1,1.000000e+00,3.211138e-05,3.211138e-04,1.605569e-04,1.592470e-17,4.887497e-21,1.618279e+09,0.000000e+00,0.000000e+00,51,0
1.204884e+00,2,2.014840e+00,1.214454e-01,1.214454e-01,1,1.000000e+00,4.207220e-05,4.207220e-04,2.103610e-04,2.071240e-17,4.887497e-21,2.135983e+09,0.000000e+00,0.000000e+00,51,0
1.204884e+00,3,2.153377e+00,3.797063e-01,3.797063e-01,1,1.000000e+00,3.224609e-05,3.224609e-04,1.612304e-04,1.598944e-17,4.887497e-21,1.625279e+09,0.000000e+00,0.000000e+00,51,0
1.307284e+00,1,2.139965e+00,3.636789e-01,3.636789e-01,1,1.000000e+00,3.306211e-05,3.306211e-04,1.653106e-04,1.638167e-17,4.887497e-21,1.667683e+09,0.000000e+00,0.000000e+00,76,0
1.307284e+00,2,2.014017e+00,1.180472e-01,1.180472e-01,1,1.000000e+00,4.214107e-05,4.214107e-04,2.107053e-04,2.074550e-17,4.887497e-21,2.139562e+09,0.000000e+00,0.000000e+00,76,0
1.307284e+00,3,2.136231e+00,3.590574e-01,3.590574e-01,1,1.000000e+00,3.329393e-05,3.329393e-04,1.664696e-04,1.649309e-17,4.887497e-21,1.679729e+09,0.000000e+00,0.000000e+00,76,0
1.409684e+00,1,2.122412e+00,3.412882e-01,3.412882e-01,1,1.000000e+00,3.416955e-05,3.416955e-04,1.708477e-04,1.691396e-17,4.887497e-21,1.725233e+09,0.000000e+00,0.000000e+00,101,0
1.409684e+00,2,2.011029e+00,1.047801e-01,1.047801e-01,1,1.000000e+00,4.239201e-05,4.239201e-04,2.119601e-04,2.086611e-17,4.887497e-21,2.152607e+09,0.000000e+00,0.000000e+00,101,0
1.409684e+00,3,2.121129e+00,3.395818e-01,3.395818e-01,1,1.000000e+00,3.425226e-05,3.425226e-04,1.712613e-04,1.695372e-17,4.887497e-21,1.729531e+09,0.000000e+00,0.000000e+00,101,0
1.512084e+00,1,2.106300e+00,3.190552e-01,3.190552e-01,1,1.000000e+00,3.522706e-05,3.522706e-04,1.761353e-04,1.742226e-17,4.887497e-21,1.780191e+09,0.000000e+00,0.000000e+00,126,0
1.512084e+00,2,2.009695e+00,9.826721e-02,9.826721e-02,1,1.000000e+00,4.250467e-05,4.250467e-04,2.125233e-04,2.092026e-17,4.887497e-21,2.158464e+09,0.000000e+00,0.000000e+00,126,0
1.512084e+00,3,2.109903e+00,3.241837e-01,3.241837e-01,1,1.000000e+00,3.498711e-05,3.498711e-04,1.749355e-04,1.730692e-17,4.887497e-21,1.767720e+09,0.000000e+00,0.000000e+00,126,0
1.614484e+00,1,2.093906e+00,3.006212e-01,3.006212e-01,1,1.000000e+00,3.606857e-05,3.606857e-04,1.803428e-04,1.782673e-17,4.887497e-21,1.823925e+09,0.000000e+00,0.000000e+00,151,0
1.614484e+00,2,2.012300e+00,1.106205e-01,1.106205e-01,1,1.000000e+00,4.228507e-05,4.228507e-04,2.114254e-04,2.081471e-17,4.887497e-21,2.147048e+09,0.000000e+00,0.000000e+00,151,0
1.614484e+00,3,2.120320e+00,3.384999e-01,3.384999e-01,1,1.000000e+00,3.430458e-05,3.430458e-04,1.715229e-04,1.697886e-17,4.887497e-21,1.732250e+09,0.000000e+00,0.000000e+00,151,0
1.716884e+00,1,2.082697e+00,2.827445e-01,2.827445e-01,1,1.000000e+00,3.685135e-05,3.685135e-04,1.842567e-04,1.820298e-17,4.887497e-21,1.864609e+09,0.000000e+00,0.000000e+00,176,0
1.716884e+00,2,2.016201e+00,1.268557e-01,1.268557e-01,1,1.000000e+00,4.195873e-05,4.195873e-04,2.097937e-04,2.065786e-17,4.887497e-21,2.130084e+09,0.000000e+00,0.000000e+00,176,0
1.716884e+00,3,2.131916e+00,3.536262e-01,3.536262e-01,1,1.000000e+00,3.356426e-05,3.356426e-04,1.678213e-04,1.662303e-17,4.887497e-21,1.693777e+09,0.000000e+00,0.000000e+00,176,0
1.819284e+00,1,2.070254e+00,2.612604e-01,2.612604e-01,1,1.000000e+00,3.774534e-05,3.774534e-04,1.887267e-04,1.863268e-17,4.887497e-21,1.911074e+09,0.000000e+00,0.000000e+00,201,0
1.819284e+00,2,2.015773e+00,1.251781e-01,1.251781e-01,1,1.000000e+00,4.199442e-05,4.199442e-04,2.099721e-04,2.067501e-17,4.887497e-21,2.131939e+09,0.000000e+00,0.000000e+00,201,0
1.819284e+00,3,2.135574e+00,3.582373e-01,3.582373e-01,1,1.000000e+00,3.333489e-05,3.333489e-04,1.666745e-04,1.651278e-17,4.887497e-21,1.681858e+09,0.000000e+00,0.000000e+00,201,0
1.921684e+00,1,2.057836e+00,2.376461e-01,2.376461e-01,1,1.000000e+00,3.866471e-05,3.866471e-04,1.933235e-04,1.907457e-17,4.887497e-21,1.958860e+09,0.000000e+00,0.000000e+00,226,0
1.921684e+00,2,2.013954e+00,1.177848e-01,1.177848e-01,1,1.000000e+00,4.214631e-05,4.214631e-04,2.107315e-04,2.074801e-17,4.887497e-21,2.139835e+09,0.000000e+00,0.000000e+00,226,0
1.921684e+00,3,2.136098e+00,3.588920e-01,3.588920e-01,1,1.000000e+00,3.330219e-05,3.330219e-04,1.665110e-04,1.649706e-17,4.887497e-21,1.680159e+09,0.000000e+00,0.000000e+00,226,0
2.024084e+00,1,2.050103e+00,2.215368e-01,2.215368e-01,1,1.000000e+00,3.925141e-05,3.925141e-04,1.962570e-04,1.935657e-17,4.887497e-21,1.989356e+09,0.000000e+00,0.000000e+00,251,0
2.024084e+00,2,2.012112e+00,1.097786e-01,1.097786e-01,1,1.000000e+00,4.230083e-05,4.230083e-04,2.115042e-04,2.082229e-17,4.887497e-21,2.147867e+09,0.000000e+00,0.000000e+00,251,0
2.024084e+00,3,2.134988e+00,3.575038e-01,3.575038e-01,1,1.000000e+00,3.337149e-05,3.337149e-04,1.668575e-04,1.653037e-17,4.887497e-21,1.683760e+09,0.000000e+00,0.000000e+00,251,0
2.126484e+00,1,2.054930e+00,2.317360e-01,2.317360e-01,1,1.000000e+00,3.888387e-05,3.888387e-04,1.944194e-04,1.917992e-17,4.887497e-21,1.970252e+09,0.000000e+00,0.000000e+00,276,0
2.126484e+00,2,2.007260e+00,8.507778e-02,8.507778e-02,1,1.000000e+00,4.271132e-05,4.271132e-04,2.135566e-04,2.101959e-17,4.887497e-21,2.169206e+09,0.000000e+00,0.000000e+00,276,0
2.126484e+00,3,2.125779e+00,3.457205e-01,3.457205e-01,1,1.000000e+00,3.395355e-05,3.395355e-04,1.697677e-04,1.681014e-17,4.887497e-21,1.714008e+09,0.000000e+00,0.000000e+00,276,0
2.228884e+00,1,2.061018e+00,2.439394e-01,2.439394e-01,1,1.000000e+00,3.842644e-05,3.842644e-04,1.921322e-04,1.896005e-17,4.887497e-21,1.946475e+09,0.000000e+00,0.000000e+00,301,0
2.228884e+00,2,2.003705e+00,6.082231e-02,6.082231e-02,1,1.000000e+00,4.301525e-05,4.301525e-04,2.150763e-04,2.116567e-17,4.887497e-21,2.185005e+09,0.000000e+00,0.000000e+00,301,0
2.228884e+00,3,2.117768e+00,3.350600e-01,3.350600e-01,1,1.000000e+00,3.447023e-05,3.447023e-04,1.723512e-04,1.705849e-17,4.887497e-21,1.740859e+09,0.000000e+00,0.000000e+00,301,0
2.331284e+00,1,2.067909e+00,2.569851e-01,2.569851e-01,1,1.000000e+00,3.791684e-05,3.791684e-04,1.895842e-04,1.871511e-17,4.887497e-21,1.919988e+09,0.000000e+00,0.000000e+00,326,0
2.331284e+00,2,2.002236e+00,4.726502e-02,4.726502e-02,1,1.000000e+00,4.314163e-05,4.314163e-04,2.157081e-04,2.122642e-17,4.887497e-21,2.191575e+09,0.000000e+00,0.000000e+00,326,0
2.331284e+00,3,2.113470e+00,3.291697e-01,3.291697e-01,1,1.000000e+00,3.475148e-05,3.475148e-04,1.737574e-04,1.719367e-17,4.887497e-21,1.755475e+09,0.000000e+00,0.000000e+00,326,0
2.433684e+00,1,2.075923e+00,2.712875e-01,2.712875e-01,1,1.000000e+00,3.733467e-05,3.733467e-04,1.866734e-04,1.843529e-17,4.887497e-21,1.889730e+09,0.000000e+00,0.000000e+00,351,0
2.433684e+00,2,2.002279e+00,4.771551e-02,4.771551e-02,1,1.000000e+00,4.313793e-05,4.313793e-04,2.156897e-04,2.122464e-17,4.887497e-21,2.191383e+09,0.000000e+00,0.000000e+00,351,0
2.433684e+00,3,2.111056e+00,3.258057e-01,3.258057e-01,1,1.000000e+00,3.491071e-05,3.491071e-04,1.745535e-04,1.727020e-17,4.887497e-21,1.763750e+09,0.000000e+00,0.000000e+00,351,0
2.536084e+00,1,2.085890e+00,2.879674e-01,2.879674e-01,1,1.000000e+00,3.662618e-05,3.662618e-04,1.831309e-04,1.809475e-17,4.887497e-21,1.852906e+09,0.000000e+00,0.000000e+00,376,0
2.536084e+00,2,2.002919e+00,5.399698e-02,5.399698e-02,1,1.000000e+00,4.308280e-05,4.308280e-04,2.154140e-04,2.119814e-17,4.887497e-21,2.188517e+09,0.000000e+00,0.000000e+00,376,0
2.536084e+00,3,2.106565e+00,3.194356e-01,3.194356e-01,1,1.000000e+00,3.520935e-05,3.520935e-04,1.760467e-04,1.741374e-17,4.887497e-21,1.779270e+09,0.000000e+00,0.000000e+00,376,0
2.638484e+00,1,2.098386e+00,3.074336e-01,3.074336e-01,1,1.000000e+00,3.576151e-05,3.576151e-04,1.788075e-04,1.767914e-17,4.887497e-21,1.807967e+09,0.000000e+00,0.000000e+00,401,0
2.638484e+00,2,2.003561e+00,5.962624e-02,5.962624e-02,1,1.000000e+00,4.302766e-05,4.302766e-04,2.151383e-04,2.117164e-17,4.887497e-21,2.185651e+09,0.000000e+00,0.000000e+00,401,0
2.638484e+00,3,2.097193e+00,3.056359e-01,3.056359e-01,1,1.000000e+00,3.584299e-05,3.584299e-04,1.792150e-04,1.771831e-17,4.887497e-21,1.812202e+09,0.000000e+00,0.000000e+00,401,0
2.740884e+00,1,2.112050e+00,3.271956e-01,3.271956e-01,1,1.000000e+00,3.484504e-05,3.484504e-04,1.742252e-04,1.723864e-17,4.887497e-21,1.760337e+09,0.000000e+00,0.000000e+00,426,0
2.740884e+00,2,2.005509e+00,7.413925e-02,7.413925e-02,1,1.000000e+00,4.286067e-05,4.286067e-04,2.143034e-04,2.109138e-17,4.887497e-21,2.176970e+09,0.000000e+00,0.000000e+00,426,0
2.740884e+00,3,2.089033e+00,2.930039e-01,2.930039e-01,1,1.000000e+00,3.640627e-05,3.640627e-04,1.820313e-04,1.798905e-17,4.887497e-21,1.841476e+09,0.000000e+00,0.000000e+00,426,0
2.843284e+00,1,2.128845e+00,3.496973e-01,3.496973e-01,1,1.000000e+00,3.375836e-05,3.375836e-04,1.687918e-04,1.671632e-17,4.887497e-21,1.703864e+09,0.000000e+00,0.000000e+00,451,0
2.843284e+00,2,2.009811e+00,9.884714e-02,9.884714e-02,1,1.000000e+00,4.249492e-05,4.249492e-04,2.124746e-04,2.091558e-17,4.887497e-21,2.157957e+09,0.000000e+00,0.000000e+00,451,0
2.843284e+00,3,2.075466e+00,2.704934e-01,2.704934e-01,1,1.000000e+00,3.736762e-05,3.736762e-04,1.868381e-04,1.845113e-17,4.887497e-21,1.891442e+09,0.000000e+00,0.000000e+00,451,0
2.945684e+00,1,2.146923e+00,3.721004e-01,3.721004e-01,1,1.000000e+00,3.263561e-05,3.263561e-04,1.631780e-04,1.617667e-17,4.887497e-21,1.645520e+09,0.000000e+00,0.000000e+00,476,0
2.945684e+00,2,2.015506e+00,1.241240e-01,1.241240e-01,1,1.000000e+00,4.201661e-05,4.201661e-04,2.100830e-04,2.068568e-17,4.887497e-21,2.133093e+09,0.000000e+00,0.000000e+00,476,0
2.945684e+00,3,2.062426e+00,2.466668e-01,2.466668e-01,1,1.000000e+00,3.832163e-05,3.832163e-04,1.916082e-04,1.890967e-17,4.887497e-21,1.941028e+09,0.000000e+00,0.000000e+00,476,0
3.048084e+00,1,2.148129e+00,3.735368e-01,3.735368e-01,1,1.000000e+00,3.256235e-05,3.256235e-04,1.628118e-04,1.614146e-17,4.887497e-21,1.641713e+09,0.000000e+00,0.000000e+00,501,0
3.048084e+00,2,2.021372e+00,1.455449e-01,1.455449e-01,1,1.000000e+00,4.153103e-05,4.153103e-04,2.076552e-04,2.045228e-17,4.887497e-21,2.107851e+09,0.000000e+00,0.000000e+00,501,0
3.048084e+00,3,2.052585e+00,2.268439e-01,2.268439e-01,1,1.000000e+00,3.906187e-05,3.906187e-04,1.953093e-04,1.926547e-17,4.887497e-21,1.979503e+09,0.000000e+00,0.000000e+00,501,0
3.150484e+00,1,2.130141e+00,3.513618e-01,3.513618e-01,1,1.000000e+00,3.367627e-05,3.367627e-04,1.683814e-04,1.667687e-17,4.887497e-21,1.699598e+09,0.000000e+00,0.000000e+00,526,0
3.150484e+00,2,2.027263e+00,1.641840e-01,1.641840e-01,1,1.000000e+00,4.105043e-05,4.105043e-04,2.052521e-04,2.022128e-17,4.887497e-21,2.082868e+09,0.000000e+00,0.000000e+00,526,0
3.150484e+00,3,2.046249e+00,2.130132e-01,2.130132e-01,1,1.000000e+00,3.954796e-05,3.954796e-04,1.977398e-04,1.949911e-17,4.887497e-21,2.004770e+09,0.000000e+00,0.000000e+00,526,0
3.252884e+00,1,2.113872e+00,3.297255e-01,3.297255e-01,1,1.000000e+00,3.472508e-05,3.472508e-04,1.736254e-04,1.718098e-17,4.887497e-21,1.754103e+09,0.000000e+00,0.000000e+00,551,0
3.252884e+00,2,2.034127e+00,1.834369e-01,1.834369e-01,1,1.000000e+00,4.049907e-05,4.049907e-04,2.024953e-04,1.995626e-17,4.887497e-21,2.054208e+09,0.000000e+00,0.000000e+00,551,0
3.252884e+00,3,2.041181e+00,2.012132e-01,2.012132e-01,1,1.000000e+00,3.994215e-05,3.994215e-04,1.997107e-04,1.968858e-17,4.887497e-21,2.025260e+09,0.000000e+00,0.000000e+00,551,0
3.355284e+00,1,2.120536e+00,3.387892e-01,3.387892e-01,1,1.000000e+00,3.429059e-05,3.429059e-04,1.714530e-04,1.697214e-17,4.887497e-21,1.731523e+09,0.000000e+00,0.000000e+00,576,0
3.355284e+00,2,2.032000e+00,1.777052e-01,1.777052e-01,1,1.000000e+00,4.066893e-05,4.066893e-04,2.033447e-04,2.003791e-17,4.887497e-21,2.063038e+09,0.000000e+00,0.000000e+00,576,0
3.355284e+00,3,2.037528e+00,1.922239e-01,1.922239e-01,1,1.000000e+00,4.022941e-05,4.022941e-04,2.011471e-04,1.982665e-17,4.887497e-21,2.040191e+09,0.000000e+00,0.000000e+00,576,0
3.457684e+00,1,2.128412e+00,3.491382e-01,3.491382e-01,1,1.000000e+00,3.378588e-05,3.378588e-04,1.689294e-04,1.672955e-17,4.887497e-21,1.705294e+09,0.000000e+00,0.000000e+00,601,0
3.457684e+00,2,2.031161e+00,1.753915e-01,1.753915e-01,1,1.000000e+00,4.073614e-05,4.073614e-04,2.036807e-04,2.007021e-17,4.887497e-21,2.066531e+09,0.000000e+00,0.000000e+00,601,0
3.457684e+00,3,2.035156e+00,1.861411e-01,1.861411e-01,1,1.000000e+00,4.041727e-05,4.041727e-04,2.020863e-04,1.991695e-17,4.887497e-21,2.049956e+09,0.000000e+00,0.000000e+00,601,0
3.560084e+00,1,2.140186e+00,3.639491e-01,3.639491e-01,1,1.000000e+00,3.304851e-05,3.304851e-04,1.652425e-04,1.637513e-17,4.887497e-21,1.666976e+09,0.000000e+00,0.000000e+00,626,0
3.560084e+00,2,2.036399e+00,1.893550e-01,1.893550e-01,1,1.000000e+00,4.031867e-05,4.031867e-04,2.015934e-04,1.986956e-17,4.887497e-21,2.044831e+09,0.000000e+00,0.000000e+00,626,0
3.560084e+00,3,2.035134e+00,1.860838e-01,1.860838e-01,1,1.000000e+00,4.041901e-05,4.041901e-04,2.020950e-04,1.991778e-17,4.887497e-21,2.050047e+09,0.000000e+00,0.000000e+00,626,0
3.662484e+00,1,2.155002e+00,3.815907e-01,3.815907e-01,1,1.000000e+00,3.214897e-05,3.214897e-04,1.607448e-04,1.594276e-17,4.887497e-21,1.620233e+09,0.000000e+00,0.000000e+00,651,0
3.662484e+00,2,2.046259e+00,2.130376e-01,2.130376e-01,1,1.000000e+00,3.954712e-05,3.954712e-04,1.977356e-04,1.949871e-17,4.887497e-21,2.004726e+09,0.000000e+00,0.000000e+00,651,0
3.662484e+00,3,2.037148e+00,1.912635e-01,1.912635e-01,1,1.000000e+00,4.025942e-05,4.025942e-04,2.012971e-04,1.984108e-17,4.887497e-21,2.041751e+09,0.000000e+00,0.000000e+00,651,0
3.764884e+00,1,2.169235e+00,3.976228e-01,3.976228e-01,1,1.000000e+00,3.131348e-05,3.131348e-04,1.565674e-04,1.554119e-17,4.887497e-21,1.576820e+09,0.000000e+00,0.000000e+00,676,0
3.764884e+00,2,2.053963e+00,2.297320e-01,2.297320e-01,1,1.000000e+00,3.895716e-05,3.895716e-04,1.947858e-04,1.921514e-17,4.887497e-21,1.974061e+09,0.000000e+00,0.000000e+00,676,0
3.764884e+00,3,2.039822e+00,1.979209e-01,1.979209e-01,1,1.000000e+00,4.004868e-05,4.004868e-04,2.002434e-04,1.973978e-17,4.887497e-21,2.030797e+09,0.000000e+00,0.000000e+00,676,0
3.867284e+00,1,2.174682e+00,4.035455e-01,4.035455e-01,1,1.000000e+00,3.100090e-05,3.100090e-04,1.550045e-04,1.539094e-17,4.887497e-21,1.560578e+09,0.000000e+00,0.000000e+00,701,0
3.867284e+00,2,2.042983e+00,2.054923e-01,2.054923e-01,1,1.000000e+00,3.980142e-05,3.980142e-04,1.990071e-04,1.962094e-17,4.887497e-21,2.017945e+09,0.000000e+00,0.000000e+00,701,0
3.867284e+00,3,2.040121e+00,1.986486e-01,1.986486e-01,1,1.000000e+00,4.002526e-05,4.002526e-04,2.001263e-04,1.972853e-17,4.887497e-21,2.029580e+09,0.000000e+00,0.000000e+00,701,0
3.969684e+00,1,2.181318e+00,4.106121e-01,4.106121e-01,1,1.000000e+00,3.062537e-05,3.062537e-04,1.531269e-04,1.521044e-17,4.887497e-21,1.541066e+09,0.000000e+00,0.000000e+00,726,0
3.969684e+00,2,2.033234e+00,1.810520e-01,1.810520e-01,1,1.000000e+00,4.057033e-05,4.057033e-04,2.028516e-04,1.999052e-17,4.887497e-21,2.057912e+09,0.000000e+00,0.000000e+00,726,0
3.969684e+00,3,2.041703e+00,2.024631e-01,2.024631e-01,1,1.000000e+00,3.990131e-05,3.990131e-04,1.995065e-04,1.966895e-17,4.887497e-21,2.023137e+09,0.000000e+00,0.000000e+00,726,0
4.072084e+00,1,2.182216e+00,4.115556e-01,4.115556e-01,1,1.000000e+00,3.057503e-05,3.057503e-04,1.528751e-04,1.518625e-17,4.887497e-21,1.538451e+09,0.000000e+00,0.000000e+00,751,0
4.072084e+00,2,2.028900e+00,1.689852e-01,1.689852e-01,1,1.000000e+00,4.091808e-05,4.091808e-04,2.045904e-04,2.015767e-17,4.887497e-21,2.075989e+09,0.000000e+00,0.000000e+00,751,0
4.072084e+00,3,2.048211e+00,2.173978e-01,2.173978e-01,1,1.000000e+00,3.939663e-05,3.939663e-04,1.969832e-04,1.942637e-17,4.887497e-21,1.996904e+09,0.000000e+00,0.000000e+00,751,0
4.174484e+00,1,2.181401e+00,4.106987e-01,4.106987e-01,1,1.000000e+00,3.062075e-05,3.062075e-04,1.531038e-04,1.520822e-17,4.887497e-21,1.540826e+09,0.000000e+00,0.000000e+00,776,0
4.174484e+00,2,2.027604e+00,1.651967e-01,1.651967e-01,1,1.000000e+00,4.102280e-05,4.102280e-04,2.051140e-04,2.020800e-17,4.887497e-21,2.081432e+09,0.000000e+00,0.000000e+00,776,0
4.174484e+00,3,2.057498e+00,2.369664e-01,2.369664e-01,1,1.000000e+00,3.869014e-05,3.869014e-04,1.934507e-04,1.908680e-17,4.887497e-21,1.960182e+09,0.000000e+00,0.000000e+00,776,0
4.276884e+00,1,2.178402e+00,4.075256e-01,4.075256e-01,1,1.000000e+00,3.078973e-05,3.078973e-04,1.539486e-04,1.528944e-17,4.887497e-21,1.549606e+09,0.000000e+00,0.000000e+00,801,0
4.276884e+00,2,2.025474e+00,1.587649e-01,1.587649e-01,1,1.000000e+00,4.119563e-05,4.119563e-04,2.059782e-04,2.029107e-17,4.887497e-21,2.090416e+09,0.000000e+00,0.000000e+00,801,0
4.276884e+00,3,2.066249e+00,2.539100e-01,2.539100e-01,1,1.000000e+00,3.803884e-05,3.803884e-04,1.901942e-04,1.877375e-17,4.887497e-21,1.926329e+09,0.000000e+00,0.000000e+00,801,0
4.379284e+00,1,2.167057e+00,3.952235e-01,3.952235e-01,1,1.000000e+00,3.143953e-05,3.143953e-04,1.571977e-04,1.560177e-17,4.887497e-21,1.583369e+09,0.000000e+00,0.000000e+00,826,0
4.379284e+00,2,2.018649e+00,1.360346e-01,1.360346e-01,1,1.000000e+00,4.175555e-05,4.175555e-04,2.087778e-04,2.056020e-17,4.887497e-21,2.119522e+09,0.000000e+00,0.000000e+00,826,0
4.379284e+00,3,2.071293e+00,2.631298e-01,2.631298e-01,1,1.000000e+00,3.766967e-05,3.766967e-04,1.883484e-04,1.859631e-17,4.887497e-21,1.907141e+09,0.000000e+00,0.000000e+00,826,0
4.481684e+00,1,2.156869e+00,3.837423e-01,3.837423e-01,1,1.000000e+00,3.203779e-05,3.203779e-04,1.601890e-04,1.588933e-17,4.887497e-21,1.614456e+09,0.000000e+00,0.000000e+00,851,0
4.481684e+00,2,2.013104e+00,1.141617e-01,1.141617e-01,1,1.000000e+00,4.221752e-05,4.221752e-04,2.110876e-04,2.078224e-17,4.887497e-21,2.143537e+09,0.000000e+00,0.000000e+00,851,0
4.481684e+00,3,2.077586e+00,2.741503e-01,2.741503e-01,1,1.000000e+00,3.721529e-05,3.721529e-04,1.860764e-04,1.837791e-17,4.887497e-21,1.883525e+09,0.000000e+00,0.000000e+00,851,0
4.584084e+00,1,2.155827e+00,3.825437e-01,3.825437e-01,1,1.000000e+00,3.209976e-05,3.209976e-04,1.604988e-04,1.591911e-17,4.887497e-21,1.617676e+09,0.000000e+00,0.000000e+00,876,0
4.584084e+00,2,2.017071e+00,1.301948e-01,1.301948e-01,1,1.000000e+00,4.188637e-05,4.188637e-04,2.094318e-04,2.062307e-17,4.887497e-21,2.126322e+09,0.000000e+00,0.000000e+00,876,0
4.584084e+00,3,2.073331e+00,2.667555e-01,2.667555e-01,1,1.000000e+00,3.752174e-05,3.752174e-04,1.876087e-04,1.852520e-17,4.887497e-21,1.899452e+09,0.000000e+00,0.000000e+00,876,0
4.686484e+00,1,2.157734e+00,3.847341e-01,3.847341e-01,1,1.000000e+00,3.198644e-05,3.198644e-04,1.599322e-04,1.586465e-17,4.887497e-21,1.611787e+09,0.000000e+00,0.000000e+00,901,0
4.686484e+00,2,2.024109e+00,1.544975e-01,1.544975e-01,1,1.000000e+00,4.130683e-05,4.130683e-04,2.065342e-04,2.034452e-17,4.887497e-21,2.096197e+09,0.000000e+00,0.000000e+00,901,0
4.686484e+00,3,2.067754e+00,2.566996e-01,2.566996e-01,1,1.000000e+00,3.792822e-05,3.792822e-04,1.896411e-04,1.872058e-17,4.887497e-21,1.920579e+09,0.000000e+00,0.000000e+00,901,0
4.788884e+00,1,2.162469e+00,3.901060e-01,3.901060e-01,1,1.000000e+00,3.170722e-05,3.170722e-04,1.585361e-04,1.573043e-17,4.887497e-21,1.597278e+09,0.000000e+00,0.000000e+00,926,0
4.788884e+00,2,2.031934e+00,1.775239e-01,1.775239e-01,1,1.000000e+00,4.067423e-05,4.067423e-04,2.033711e-04,2.004046e-17,4.887497e-21,2.063313e+09,0.000000e+00,0.000000e+00,926,0
4.788884e+00,3,2.061310e+00,2.445067e-01,2.445067e-01,1,1.000000e+00,3.840471e-05,3.840471e-04,1.920236e-04,1.894961e-17,4.887497e-21,1.945346e+09,0.000000e+00,0.000000e+00,926,0
4.891284e+00,1,2.171033e+00,3.995902e-01,3.995902e-01,1,1.000000e+00,3.120987e-05,3.120987e-04,1.560494e-04,1.549139e-17,4.887497e-21,1.571436e+09,0.000000e+00,0.000000e+00,951,0
4.891284e+00,2,2.040234e+00,1.989245e-01,1.989245e-01,1,1.000000e+00,4.001637e-05,4.001637e-04,2.000818e-04,1.972425e-17,4.887497e-21,2.029117e+09,0.000000e+00,0.000000e+00,951,0
4.891284e+00,3,2.052641e+00,2.269626e-01,2.269626e-01,1,1.000000e+00,3.905759e-05,3.905759e-04,1.952879e-04,1.926341e-17,4.887497e-21,1.979281e+09,0.000000e+00,0.000000e+00,951,0
4.993684e+00,1,2.180766e+00,4.100294e-01,4.100294e-01,1,1.000000e+00,3.065644e-05,3.065644e-04,1.532822e-04,1.522537e-17,4.887497e-21,1.542680e+09,0.000000e+00,0.000000e+00,976,0
4.993684e+00,2,2.049780e+00,2.208367e-01,2.208367e-01,1,1.000000e+00,3.927613e-05,3.927613e-04,1.963807e-04,1.936846e-17,4.887497e-21,1.990641e+09,0.000000e+00,0.000000e+00,976,0
4.993684e+00,3,2.045218e+00,2.106711e-01,2.106711e-01,1,1.000000e+00,3.962772e-05,3.962772e-04,1.981386e-04,1.953745e-17,4.887497e-21,2.008916e+09,0.000000e+00,0.000000e+00,976,0
5.096084e+00,1,2.200991e+00,4.306814e-01,4.306814e-01,1,1.000000e+00,2.954503e-05,2.954503e-04,1.477251e-04,1.469117e-17,4.887497e-21,1.484937e+09,0.000000e+00,0.000000e+00,1001,0
