flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,5188,2508,1841,2638416,1,9.9958344639999996,8.9958344639999996,2.3463446425641119,1329.4189361391548,2.7545482568807338,0.35485736314572092,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,5188,2402,1839,2526904,1,9.9856574390000006,8.9856574390000006,2.249722086250566,1304.5508280154038,2.8619802336526448,0.35447185813415577,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,5188,2159,1838,2271268,1,9.9996646120000001,8.9996646120000001,2.0189801268563095,1309.4208411056045,3.033380892029657,0.35427910562837317,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,5188,4898,0,5152696,1,9.4984651299999996,8.4984651299999996,4.8504720993071837,0.084330000000000002,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,5188,5188,0,5457776,1,9.4984651299999996,8.4984651299999996,5.137658074970533,0.084329999999999988,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,5188,5188,0,5457776,1,9.4984651299999996,8.4984651299999996,5.137658074970533,0.084329999999999988,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,5188,5188,0,5457776,1,9.5008499969999995,8.5008499969999995,5.1362167330806505,2.6026111002313028,0.20145719760940814,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,5188,5188,0,5457776,1,9.5007785689999995,8.5007785689999995,5.1362598902674703,2.5321330932922126,0.20100276845961054,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,5188,5188,0,5457776,1,9.5007071409999995,8.5007071409999995,5.1363030481795535,2.4616550871241327,0.20074112743396955,0,EXPECTED
