run_id,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,seed,run_number,status,return_code,matched_application_flows,elapsed_seconds,source_directory
load10p0_speed0p5_fov40p0_seed3,10.0,0.5,40.0,3,1,PASS,0,9,5.335031,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov40p0_seed3
load10p0_speed0p5_fov70p0_seed1,10.0,0.5,70.0,1,1,PASS,0,9,5.395499,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov70p0_seed1
load10p0_speed0p5_fov70p0_seed2,10.0,0.5,70.0,2,1,PASS,0,9,5.711266,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov70p0_seed2
load10p0_speed0p5_fov70p0_seed3,10.0,0.5,70.0,3,1,PASS,0,9,5.478967,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov70p0_seed3
load10p0_speed3p0_fov40p0_seed1,10.0,3.0,40.0,1,1,PASS,0,9,5.363769,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov40p0_seed1
load10p0_speed3p0_fov40p0_seed2,10.0,3.0,40.0,2,1,PASS,0,9,5.618536,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov40p0_seed2
load10p0_speed3p0_fov40p0_seed3,10.0,3.0,40.0,3,1,PASS,0,9,5.379090,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov40p0_seed3
load10p0_speed3p0_fov70p0_seed1,10.0,3.0,70.0,1,1,PASS,0,9,5.366177,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov70p0_seed1
load10p0_speed3p0_fov70p0_seed2,10.0,3.0,70.0,2,1,PASS,0,9,5.745340,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov70p0_seed2
load10p0_speed3p0_fov70p0_seed3,10.0,3.0,70.0,3,1,PASS,0,9,5.404576,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed3p0_fov70p0_seed3
