method,utility,privacy_leakage,strongest_attacker
V1,0.6455218667088138,0.24808563501893302,GradientBoosting
V2,0.6374014416780694,0.24689120109948653,GradientBoosting
V3,0.6456619653084108,0.23816820799144475,GradientBoosting
PCA3,0.5872038299308824,0.21744726663987196,RandomForest
