representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma005,LogisticRegression,dominant_rat,11,570,0,0.5684210526315789,0.7799642218246869,0.26972540510360754
V3_sigma005,RandomForest,dominant_rat,11,570,0,0.9719298245614035,0.7628882745161815,0.7070914696813977
V3_sigma005,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma005,GradientBoosting,dominant_rat,11,570,0,0.9842105263157894,0.5909090909090909,0.6498532523377244
PCA3,LogisticRegression,dominant_rat,11,570,0,0.3140350877192982,0.6502683363148479,0.25772104006314717
PCA3,RandomForest,dominant_rat,11,570,0,0.9263157894736842,0.6950723694909742,0.5768523755656109
PCA3,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
PCA3,GradientBoosting,dominant_rat,11,570,0,0.9175438596491228,0.7797202797202798,0.5929746729667725
RandomProjection3,LogisticRegression,dominant_rat,11,570,0,0.8052631578947368,0.9007155635062611,0.527592566321464
RandomProjection3,RandomForest,dominant_rat,11,570,0,0.8912280701754386,0.9445438282647585,0.6015963203463204
RandomProjection3,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
RandomProjection3,GradientBoosting,dominant_rat,11,570,0,0.9666666666666667,0.893885184582859,0.7346303692631888
V3_sigma0,LogisticRegression,dominant_rat,11,570,0,0.6421052631578947,0.817531305903399,0.29597212091741637
V3_sigma0,RandomForest,dominant_rat,11,570,0,0.9719298245614035,0.8074483655879005,0.48944806875841357
V3_sigma0,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma0,GradientBoosting,dominant_rat,11,570,0,0.9736842105263158,0.763782728899008,0.7154836777478286
V3_sigma001,LogisticRegression,dominant_rat,11,570,0,0.6105263157894737,0.8014311270125223,0.28407738095238094
V3_sigma001,RandomForest,dominant_rat,11,570,0,0.9736842105263158,0.808342819970727,0.7346286352773208
V3_sigma001,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma001,GradientBoosting,dominant_rat,11,570,0,0.9789473684210527,0.6327858188323304,0.6613190730837789
V3_sigma010,LogisticRegression,dominant_rat,11,570,0,0.6070175438596491,0.7996422182468694,0.28345271569210984
V3_sigma010,RandomForest,dominant_rat,11,570,0,0.9736842105263158,0.763782728899008,0.7154836777478286
V3_sigma010,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma010,GradientBoosting,dominant_rat,11,570,0,0.9789473684210527,0.6327858188323304,0.6613190730837789
V3_8D_sigma005,LogisticRegression,dominant_rat,11,570,0,0.9315789473684211,0.9205561879980484,0.6514526725097602
V3_8D_sigma005,RandomForest,dominant_rat,11,570,0,0.9842105263157894,0.6800292730525288,0.7312869938714577
V3_8D_sigma005,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V3_8D_sigma005,GradientBoosting,dominant_rat,11,570,0,0.9824561403508771,0.5900146365262644,0.6384166455214413
Majority,Baseline,dominant_cpe,19,570,0,0.3280701754385965,0.25,0.12351387054161163
StratifiedRandom,Baseline,dominant_cpe,19,570,0,0.2631578947368421,0.2565106193467522,0.25440004367289004
RawPrivate,LogisticRegression,dominant_cpe,19,570,0,0.16140350877192983,0.2627389876641661,0.09907871924270195
RawPrivate,RandomForest,dominant_cpe,19,570,0,0.24210526315789474,0.30098820453495057,0.23442452609000725
RawPrivate,MLP,dominant_cpe,19,570,0,0.25263157894736843,0.33057785091848657,0.22263564811675024
RawPrivate,GradientBoosting,dominant_cpe,19,570,0,0.2754385964912281,0.307306563303575,0.275721436677319
