flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,10376,2364,4203,2486928,1,9.9920647670000005,8.9920647670000005,2.2125534585798654,2417.1899152034689,3.4789288104104954,0.40506939090208172,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,10376,2444,4205,2571088,1,9.9970858109999998,8.9970858109999998,2.2861518087170323,2443.975519044599,3.330239930822759,0.40526214340786432,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,10376,2266,4208,2383832,1,9.9988749160000001,8.9988749160000001,2.1192267008948384,2378.1010459977933,3.6062390401766007,0.40555127216653819,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,10376,1572,0,1653744,1,3.9557579299999999,2.9557579299999999,4.4759930661845502,0.084330000000000016,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,10376,2765,0,2908780,1,4.62094833,3.62094833,6.426559530607828,0.084330000000000002,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,10376,2292,0,2411184,1,4.5226443300000003,3.5226443300000003,5.4758500129361618,0.084330000000000002,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,10376,10376,0,10915552,1,9.5018499970000008,8.5018499970000008,10.271225207550554,2.6026032914417883,0.23173072077108434,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,10376,10376,0,10915552,1,9.5017785690000007,8.5017785690000007,10.271311501620454,2.5321459363916734,0.23128322004819277,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,10376,10376,0,10915552,1,9.5017071410000007,8.5017071410000007,10.271397797140375,2.4616335100231304,0.23104225812048193,0,EXPECTED
