time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,3.065100e+00,8.599079e-01,8.599079e-01,1,1.000000e+00,3.675721e-06,3.675721e-05,1.837860e-05,2.257012e-18,4.887497e-21,1.493316e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.382213e+00,5.743315e-01,5.743315e-01,1,1.000000e+00,1.007393e-05,1.007393e-04,5.036966e-05,5.332331e-18,4.887497e-21,4.753604e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.086574e+00,2.890717e-01,2.890717e-01,1,1.000000e+00,1.711534e-05,1.711534e-04,8.557672e-05,8.716808e-18,4.887497e-21,8.396734e+08,0.000000e+00,0.000000e+00,1,0
1.102484e+00,1,3.177654e+00,8.900216e-01,8.900216e-01,1,1.000000e+00,3.181961e-06,3.181961e-05,1.590980e-05,2.019685e-18,4.887497e-21,1.250248e+08,0.000000e+00,0.000000e+00,26,0
1.102484e+00,2,2.411546e+00,5.928644e-01,5.928644e-01,1,1.000000e+00,9.592661e-06,9.592661e-05,4.796331e-05,5.101007e-18,4.887497e-21,4.505535e+08,0.000000e+00,0.000000e+00,26,0
1.102484e+00,3,2.053454e+00,2.286695e-01,2.286695e-01,1,1.000000e+00,1.824657e-05,1.824657e-04,9.123286e-05,9.260536e-18,4.887497e-21,8.983330e+08,0.000000e+00,0.000000e+00,26,0
1.204884e+00,1,3.314947e+00,9.231288e-01,9.231288e-01,1,1.000000e+00,2.686673e-06,2.686673e-05,1.343336e-05,1.781623e-18,4.887497e-21,1.010099e+08,0.000000e+00,0.000000e+00,51,0
1.204884e+00,2,2.478893e+00,6.320608e-01,6.320608e-01,1,1.000000e+00,8.591911e-06,8.591911e-05,4.295955e-05,4.619994e-18,4.887497e-21,3.990423e+08,0.000000e+00,0.000000e+00,51,0
1.204884e+00,3,2.065986e+00,2.534187e-01,2.534187e-01,1,1.000000e+00,1.780787e-05,1.780787e-04,8.903933e-05,9.049670e-18,4.887497e-21,8.755814e+08,0.000000e+00,0.000000e+00,51,0
1.307284e+00,1,3.375745e+00,9.366849e-01,9.366849e-01,1,1.000000e+00,2.498289e-06,2.498289e-05,1.249145e-05,1.691076e-18,4.887497e-21,9.200445e+07,0.000000e+00,0.000000e+00,76,0
1.307284e+00,2,2.454679e+00,6.184632e-01,6.184632e-01,1,1.000000e+00,8.935977e-06,8.935977e-05,4.467989e-05,4.785370e-18,4.887497e-21,4.167401e+08,0.000000e+00,0.000000e+00,76,0
1.307284e+00,3,2.096647e+00,3.048092e-01,3.048092e-01,1,1.000000e+00,1.678882e-05,1.678882e-04,8.394409e-05,8.559861e-18,4.887497e-21,8.227456e+08,0.000000e+00,0.000000e+00,76,0
1.409684e+00,1,3.385389e+00,9.387785e-01,9.387785e-01,1,1.000000e+00,2.469941e-06,2.469941e-05,1.234971e-05,1.677451e-18,4.887497e-21,9.065671e+07,0.000000e+00,0.000000e+00,101,0
1.409684e+00,2,2.364868e+00,5.628964e-01,5.628964e-01,1,1.000000e+00,1.037273e-05,1.037273e-04,5.186365e-05,5.475950e-18,4.887497e-21,4.907714e+08,0.000000e+00,0.000000e+00,101,0
1.409684e+00,3,2.150235e+00,3.760275e-01,3.760275e-01,1,1.000000e+00,1.517669e-05,1.517669e-04,7.588345e-05,7.784988e-18,4.887497e-21,7.392029e+08,0.000000e+00,0.000000e+00,101,0
1.512084e+00,1,3.401366e+00,9.422135e-01,9.422135e-01,1,1.000000e+00,2.423859e-06,2.423859e-05,1.211930e-05,1.655301e-18,4.887497e-21,8.847027e+07,0.000000e+00,0.000000e+00,126,0
1.512084e+00,2,2.323689e+00,5.341523e-01,5.341523e-01,1,1.000000e+00,1.112780e-05,1.112780e-04,5.563899e-05,5.838876e-18,4.887497e-21,5.297438e+08,0.000000e+00,0.000000e+00,126,0
1.512084e+00,3,2.221789e+00,4.506244e-01,4.506244e-01,1,1.000000e+00,1.331403e-05,1.331403e-04,6.657014e-05,6.889693e-18,4.887497e-21,6.427632e+08,0.000000e+00,0.000000e+00,126,0
1.614484e+00,1,3.283122e+00,9.157749e-01,9.157749e-01,1,1.000000e+00,2.792369e-06,2.792369e-05,1.396184e-05,1.832426e-18,4.887497e-21,1.060968e+08,0.000000e+00,0.000000e+00,151,0
1.614484e+00,2,2.403453e+00,5.878481e-01,5.878481e-01,1,1.000000e+00,9.722506e-06,9.722506e-05,4.861253e-05,5.163418e-18,4.887497e-21,4.572443e+08,0.000000e+00,0.000000e+00,151,0
