flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,20752,2380,14552,2503760,1,9.9900441539999996,8.9900441539999996,2.2280291016243661,1671.7875758743698,4.6299593825136611,0.70123361603700851,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,20752,2340,14552,2461680,1,9.9951821679999995,8.9951821679999995,2.1893319815199099,1675.8790568405984,4.5366825224454894,0.70123361603700851,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,20752,2347,14550,2469044,1,9.9990843139999992,8.9990843139999992,2.1949290962049322,1632.3187614103108,4.4745916935208863,0.70113723978411724,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,20752,10257,0,10790364,1,6.25320433,5.25320433,16.432429918445607,0.084330000000000002,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,20752,20752,0,21831104,1,9.4996939299999994,8.4996939299999994,20.547661296787425,0.084329999999999988,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,20752,20752,0,21831104,1,9.4996939299999994,8.4996939299999994,20.547661296787425,0.084329999999999988,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,20752,20752,0,21831104,1,9.5023499969999996,8.5023499969999996,20.541242369653535,2.6416865298766385,0.15414994805069637,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,20752,20752,0,21831104,1,9.5022785689999996,8.5022785689999996,20.541414937494974,2.5582219269468003,0.14820519762902992,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,20752,20752,0,21831104,1,9.5022071409999995,8.5022071409999995,20.541587508235938,2.4747263463762526,0.14820358402004724,0,EXPECTED
