branch,n_run_units,throughput_mbps_mean,throughput_mbps_std,throughput_mbps_min,throughput_mbps_max,mean_delay_ms_mean,mean_delay_ms_std,mean_delay_ms_min,mean_delay_ms_max,mean_jitter_ms_mean,mean_jitter_ms_std,mean_jitter_ms_min,mean_jitter_ms_max,FlowMonitor_reported_loss_ratio_mean,FlowMonitor_reported_loss_ratio_std,FlowMonitor_reported_loss_ratio_min,FlowMonitor_reported_loss_ratio_max
NR,48,9.501010139976785,7.0916889890012875,2.05505422883264,20.541414938461482,2.538939617110806,0.011577179597941151,2.532099140655106,2.5613862788486252,0.18492792872818348,0.03361795007748304,0.15018624323325785,0.232057174875502,0.0,0.0,0.0,0.0
WiFi80211ax,48,2.1679174735725875,0.06622940161161445,2.0541278839653243,2.206794524814417,1347.7540170883842,880.5826806914578,4.705160012202954,2413.695769123315,3.215021216426393,0.9351178139237836,1.9685229360936125,4.547217141061475,0.3651656065278849,0.2516625627961291,0.0,0.7013299922898998
LiFi,48,8.082300595372624,6.620443258756812,0.6909730700680784,20.547661296787425,0.079645,0.010586838476909438,0.05621999999999999,0.08433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
