factor,level,branch,n_run_units,throughput_mbps_mean,throughput_mbps_std_across_run_units,mean_delay_ms_mean,mean_delay_ms_std_across_run_units,mean_jitter_ms_mean,mean_jitter_ms_std_across_run_units,FlowMonitor_reported_loss_ratio_mean,FlowMonitor_reported_loss_ratio_std_across_run_units
offered_load,2.0,NR,12,2.05505422883264,0.0,2.532244413830015,0.0003392850398450666,0.15672512535475236,0.0005538370300638487,0.0,0.0
offered_load,5.0,NR,12,5.1362598905092245,0.0,2.53239927537908,0.0006216668205119863,0.201217074052653,0.00035042468263157714,0.0,0.0
offered_load,10.0,NR,12,10.271311502103794,0.0,2.5323740652038893,0.0005756670815786301,0.23146958440696117,0.0002744631356150508,0.0,0.0
offered_load,20.0,NR,12,20.541414938461482,0.0,2.5587407140302405,0.0012357416506939994,0.15029993109836742,0.0002655176488553518,0.0,0.0
offered_load,2.0,WiFi80211ax,12,2.054412501585552,0.0002193750474435989,4.746855508213832,0.02757274797935185,1.9699830421551328,0.001400072741358871,0.0,0.0
offered_load,5.0,WiFi80211ax,12,2.205906129027752,0.0008565920985053374,1314.2215245116772,1.6371861293360013,2.9116666415273045,0.013955285144760396,0.3539792683971559,0.0007918215898793865
offered_load,10.0,WiFi80211ax,12,2.2058209141058835,0.00013095626133562453,2413.420880416189,0.2640588756986247,3.4493802105268507,0.02779960161570715,0.40541206202347296,0.00019819223352359838
offered_load,20.0,WiFi80211ax,12,2.2055303495711627,0.0011241745581897246,1658.626807917457,1.3486397606224476,4.529054971496283,0.017137669071176826,0.7012710956909106,5.5361117762473297e-05
offered_load,2.0,LiFi,12,1.7483307544743902,0.4901070734671536,0.079645,0.010941802660190203,0.0,0.0,0.0,0.0
offered_load,5.0,LiFi,12,4.369336765847806,1.2255245367118874,0.079645,0.010941802660190202,0.0,0.0,0.0,0.0
offered_load,10.0,LiFi,12,8.737646566506605,2.4509319782752015,0.079645,0.010941802660190203,0.0,0.0,0.0,0.0
offered_load,20.0,LiFi,12,17.4738882946617,4.9021476002422615,0.079645,0.010941802660190202,0.0,0.0,0.0,0.0
mobility_speed,0.5,NR,24,9.501010139976785,7.16835812516115,2.538642853639104,0.011541025105101303,0.18477333180504943,0.034000219699531826,0.0,0.0
mobility_speed,3.0,NR,24,9.501010139976785,7.16835812516115,2.5392363805825084,0.011853714934234972,0.18508252565131755,0.033961831419338395,0.0,0.0
mobility_speed,0.5,WiFi80211ax,24,2.167826392604497,0.06689307226583253,1347.7141680729171,890.1024295401969,3.213923983531237,0.9453616329173599,0.36528875396213484,0.254377467407724
mobility_speed,3.0,WiFi80211ax,24,2.1680085545406778,0.06699758953735084,1347.7938661038513,890.1031088582014,3.2161184493215482,0.9450919978026909,0.36504245909363486,0.25438910669465714
mobility_speed,0.5,LiFi,24,9.368487827145106,7.074622563632962,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
mobility_speed,3.0,LiFi,24,6.796113363600144,6.005290327537682,0.07496,0.013536185320963887,0.0,0.0,0.0,0.0
lifi_fov,40.0,NR,24,9.501010139976785,7.16835812516115,2.538939617110806,0.011702341933785033,0.18492792872818348,0.033981397938197676,0.0,0.0
lifi_fov,70.0,NR,24,9.501010139976785,7.16835812516115,2.538939617110806,0.011702341933785033,0.18492792872818348,0.033981397938197676,0.0,0.0
lifi_fov,40.0,WiFi80211ax,24,2.1679174735725875,0.06694541595147374,1347.7540170883842,890.102770130047,3.215021216426393,0.9452274895049363,0.3651656065278849,0.25438331822170984
lifi_fov,70.0,WiFi80211ax,24,2.1679174735725875,0.06694541595147374,1347.7540170883842,890.102770130047,3.215021216426393,0.9452274895049363,0.3651656065278849,0.25438331822170984
lifi_fov,40.0,LiFi,24,6.823694098294906,6.04394096959076,0.07496,0.013536185320963887,0.0,0.0,0.0,0.0
lifi_fov,70.0,LiFi,24,9.340907092450344,7.052024652194586,0.08432999999999999,4.688360288136574e-18,0.0,0.0,0.0,0.0
