offered_load_mbps,mobility_speed_mps,lifi_fov_deg,n_seed_runs,in_fov_fraction_mean,in_fov_fraction_std_across_seeds,zero_gain_fraction_mean,zero_gain_fraction_std_across_seeds,distance_mean_mean,distance_mean_std_across_seeds,H_LOS_mean_mean,H_LOS_mean_std_across_seeds,received_power_mean_mean,received_power_mean_std_across_seeds,SNR_mean_mean,SNR_mean_std_across_seeds,SNR_min_mean,SNR_min_std_across_seeds,BER_mean_mean,BER_mean_std_across_seeds,PER_mean_mean,PER_mean_std_across_seeds
2.0,0.5,40.0,3,0.9378306878306878,0.0942686550401949,0.06216931216931216,0.09426865504019487,2.227533119047619,0.09951943542462713,2.947600634920635e-05,5.198820583133914e-06,0.00029476006349206347,5.198820583133911e-05,1484589240.7407408,267472059.03965482,1059039888.888889,242502115.34503126,0.03108465608465608,0.047134327520097434,0.06216931216931216,0.09426865504019487
2.0,0.5,70.0,3,1.0,0.0,0.0,0.0,2.227533119047619,0.09951943542462713,1.415065694973545e-05,2.1732001328058064e-06,0.0001415065694973545,2.173200132805805e-05,686462396.8253968,112363957.03820871,530063344.4444445,59040844.66567131,0.0,0.0,0.0,0.0
2.0,3.0,40.0,3,0.3082010582010582,0.10694671444813311,0.6917989417989417,0.10694671444813314,3.976896837301587,0.20839036247382517,7.992826746031746e-06,2.9975744385819486e-06,7.992826746031745e-05,2.9975744385819488e-05,399896397.75132275,150442922.98707005,0.0,0.0,0.3458994708994709,0.05347335722406657,0.6917989417989417,0.10694671444813314
2.0,3.0,70.0,3,0.8425925925925926,0.08155059598835107,0.1574074074074074,0.08155059598835107,3.976896837301587,0.20839036247382517,4.810296413227514e-06,1.3378105382668563e-06,4.8102964132275137e-05,1.3378105382668559e-05,219237323.5462963,67200082.58010401,19019883.555555556,15282194.382792037,0.0787037037037037,0.040775297994175536,0.1574074074074074,0.08155059598835107
5.0,0.5,40.0,3,0.9378306878306878,0.0910395069183585,0.062169312169312166,0.09103950691835853,2.227018992063492,0.09989412789873149,2.9496665e-05,5.228471118800909e-06,0.00029496665,5.228471118800909e-05,1485662843.1216931,269053381.79871076,1062923777.7777778,250484183.17870635,0.031084656084656083,0.04551975345917927,0.062169312169312166,0.09103950691835853
5.0,0.5,70.0,3,1.0,0.0,0.0,0.0,2.227018992063492,0.09989412789873149,1.4161836825396825e-05,2.185963816702179e-06,0.00014161836825396824,2.1859638167021792e-05,687040054.6296296,113025313.93260655,532399800.0,62491469.83496581,0.0,0.0,0.0,0.0
5.0,3.0,40.0,3,0.31084656084656087,0.10869925795794579,0.6891534391534392,0.10869925795794583,3.9663224232804235,0.19901479665015268,8.039124642857144e-06,3.027062135010457e-06,8.039124642857142e-05,3.0270621350104564e-05,402170876.32275134,151896465.30584943,0.0,0.0,0.3445767195767196,0.054349628978972914,0.6891534391534392,0.10869925795794583
5.0,3.0,70.0,3,0.8465608465608466,0.08486251286955254,0.15343915343915343,0.0848625128695526,3.9663224232804235,0.19901479665015268,4.825730055952381e-06,1.3440711166292945e-06,4.825730055952381e-05,1.3440711166292942e-05,219938185.0462963,67594468.39521687,18743063.222222224,15216868.039027803,0.07671957671957672,0.0424312564347763,0.15343915343915343,0.0848625128695526
10.0,0.5,40.0,3,0.938562091503268,0.08996845389578959,0.06143790849673202,0.08996845389578961,2.2272469241830066,0.09973411555287966,2.9498911346405227e-05,5.20654173374275e-06,0.0002949891134640523,5.2065417337427526e-05,1485743353.5947711,267948787.93461227,1059533444.4444444,250430972.85575822,0.03071895424836601,0.044984226947894806,0.06143790849673202,0.08996845389578961
10.0,0.5,70.0,3,1.0,0.0,0.0,0.0,2.2272469241830066,0.09973411555287966,1.4156953734640523e-05,2.179967164350297e-06,0.00014156953734640522,2.1799671643502973e-05,686787791.7647059,112714468.06453767,530647622.22222227,62473544.98337085,0.0,0.0,0.0,0.0
