flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,5188,2566,1832,2699432,1,9.9890140160000005,8.9890140160000005,2.4024276702162393,1321.9507729255652,2.7460793925925926,0.35312259059367773,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,5188,2496,1834,2625792,1,9.983875973,8.983875973,2.3382264028501853,1321.5861365753206,2.7622515298597197,0.35350809560524288,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,5188,2009,1836,2113468,1,9.9992180729999998,8.9992180729999998,1.8788014539538316,1308.4191636212047,3.2332943500996012,0.35389360061680802,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,5188,0,0,0,1,0,0,0,0,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,5188,3963,0,4169076,1,7.8485963300000003,6.8485963300000003,4.8699918045834067,0.084330000000000002,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,5188,2652,0,2789904,1,7.8797259300000002,6.8797259300000002,3.2442036539092189,0.084330000000000002,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,5188,5188,0,5457776,1,9.5008499969999995,8.5008499969999995,5.1362167330806505,2.6074023731688514,0.20415796953923265,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,5188,5188,0,5457776,1,9.5007785689999995,8.5007785689999995,5.1362598902674703,2.5321330932922126,0.20100276845961054,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,5188,5188,0,5457776,1,9.5007071409999995,8.5007071409999995,5.1363030481795535,2.4616550871241327,0.20074112743396955,0,EXPECTED
