time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.463149e+00,6.232791e-01,6.232791e-01,1,1.000000e+00,1.883627e-05,1.883627e-04,9.418137e-05,9.543978e-18,4.887497e-21,9.289199e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.044028e+00,2.079307e-01,2.079307e-01,1,1.000000e+00,3.972010e-05,3.972010e-04,1.986005e-04,1.958185e-17,4.887497e-21,2.013717e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.169645e+00,3.980722e-01,3.980722e-01,1,1.000000e+00,3.128984e-05,3.128984e-04,1.564492e-04,1.552982e-17,4.887497e-21,1.575591e+09,0.000000e+00,0.000000e+00,1,0
1.100436e+00,1,2.492766e+00,6.396219e-01,6.396219e-01,1,1.000000e+00,1.795690e-05,1.795690e-04,8.978451e-05,9.121305e-18,4.887497e-21,8.833101e+08,0.000000e+00,0.000000e+00,246,0
1.100436e+00,2,2.052292e+00,2.262238e-01,2.262238e-01,1,1.000000e+00,3.908421e-05,3.908421e-04,1.954210e-04,1.927621e-17,4.887497e-21,1.980665e+09,0.000000e+00,0.000000e+00,246,0
1.100436e+00,3,2.164864e+00,3.927883e-01,3.927883e-01,1,1.000000e+00,3.156711e-05,3.156711e-04,1.578356e-04,1.566309e-17,4.887497e-21,1.589998e+09,0.000000e+00,0.000000e+00,246,0
1.200788e+00,1,2.523034e+00,6.555768e-01,6.555768e-01,1,1.000000e+00,1.711060e-05,1.711060e-04,8.555301e-05,8.714528e-18,4.887497e-21,8.394275e+08,0.000000e+00,0.000000e+00,491,0
1.200788e+00,2,2.061744e+00,2.453488e-01,2.453488e-01,1,1.000000e+00,3.837240e-05,3.837240e-04,1.918620e-04,1.893407e-17,4.887497e-21,1.943666e+09,0.000000e+00,0.000000e+00,491,0
1.200788e+00,3,2.161239e+00,3.887194e-01,3.887194e-01,1,1.000000e+00,3.177946e-05,3.177946e-04,1.588973e-04,1.576516e-17,4.887497e-21,1.601032e+09,0.000000e+00,0.000000e+00,491,0
1.301140e+00,1,2.552695e+00,6.705408e-01,6.705408e-01,1,1.000000e+00,1.632909e-05,1.632909e-04,8.164545e-05,8.338892e-18,4.887497e-21,7.989160e+08,0.000000e+00,0.000000e+00,736,0
1.301140e+00,2,2.070008e+00,2.608162e-01,2.608162e-01,1,1.000000e+00,3.776326e-05,3.776326e-04,1.888163e-04,1.864129e-17,4.887497e-21,1.912006e+09,0.000000e+00,0.000000e+00,736,0
1.301140e+00,3,2.158388e+00,3.854821e-01,3.854821e-01,1,1.000000e+00,3.194767e-05,3.194767e-04,1.597384e-04,1.584601e-17,4.887497e-21,1.609773e+09,0.000000e+00,0.000000e+00,736,0
1.401492e+00,1,2.581816e+00,6.846373e-01,6.846373e-01,1,1.000000e+00,1.560473e-05,1.560473e-04,7.802366e-05,7.990728e-18,4.887497e-21,7.613788e+08,0.000000e+00,0.000000e+00,981,0
1.401492e+00,2,2.077188e+00,2.734670e-01,2.734670e-01,1,1.000000e+00,3.724387e-05,3.724387e-04,1.862193e-04,1.839164e-17,4.887497e-21,1.885010e+09,0.000000e+00,0.000000e+00,981,0
1.401492e+00,3,2.156331e+00,3.831236e-01,3.831236e-01,1,1.000000e+00,3.206979e-05,3.206979e-04,1.603490e-04,1.590471e-17,4.887497e-21,1.616118e+09,0.000000e+00,0.000000e+00,981,0
1.501844e+00,1,2.610590e+00,6.980292e-01,6.980292e-01,1,1.000000e+00,1.492805e-05,1.492805e-04,7.464023e-05,7.665476e-18,4.887497e-21,7.263233e+08,0.000000e+00,0.000000e+00,1226,4
1.501844e+00,2,2.085168e+00,2.867956e-01,2.867956e-01,1,1.000000e+00,3.667696e-05,3.667696e-04,1.833848e-04,1.811916e-17,4.887497e-21,1.855545e+09,0.000000e+00,0.000000e+00,1226,0
1.501844e+00,3,2.155699e+00,3.823959e-01,3.823959e-01,1,1.000000e+00,3.210740e-05,3.210740e-04,1.605370e-04,1.592278e-17,4.887497e-21,1.618072e+09,0.000000e+00,0.000000e+00,1226,0
1.602196e+00,1,2.587345e+00,6.872508e-01,6.872508e-01,1,1.000000e+00,1.547177e-05,1.547177e-04,7.735887e-05,7.926820e-18,4.887497e-21,7.544900e+08,0.000000e+00,0.000000e+00,1471,4
1.602196e+00,2,2.073916e+00,2.677861e-01,2.677861e-01,1,1.000000e+00,3.747941e-05,3.747941e-04,1.873970e-04,1.850486e-17,4.887497e-21,1.897252e+09,0.000000e+00,0.000000e+00,1471,0
1.602196e+00,3,2.170058e+00,3.985252e-01,3.985252e-01,1,1.000000e+00,3.126599e-05,3.126599e-04,1.563299e-04,1.551836e-17,4.887497e-21,1.574352e+09,0.000000e+00,0.000000e+00,1471,0
1.702548e+00,1,2.564872e+00,6.765041e-01,6.765041e-01,1,1.000000e+00,1.602120e-05,1.602120e-04,8.010602e-05,8.190906e-18,4.887497e-21,7.829596e+08,0.000000e+00,0.000000e+00,1716,4
1.702548e+00,2,2.063823e+00,2.493414e-01,2.493414e-01,1,1.000000e+00,3.821796e-05,3.821796e-04,1.910898e-04,1.885984e-17,4.887497e-21,1.935639e+09,0.000000e+00,0.000000e+00,1716,0
1.702548e+00,3,2.185475e+00,4.149590e-01,4.149590e-01,1,1.000000e+00,3.039305e-05,3.039305e-04,1.519652e-04,1.509877e-17,4.887497e-21,1.528995e+09,0.000000e+00,0.000000e+00,1716,0
1.802900e+00,1,2.568981e+00,6.784940e-01,6.784940e-01,1,1.000000e+00,1.591894e-05,1.591894e-04,7.959469e-05,8.141751e-18,4.887497e-21,7.776599e+08,0.000000e+00,0.000000e+00,1961,4
1.802900e+00,2,2.058530e+00,2.390333e-01,2.390333e-01,1,1.000000e+00,3.861262e-05,3.861262e-04,1.930631e-04,1.904954e-17,4.887497e-21,1.956152e+09,0.000000e+00,0.000000e+00,1961,0
1.802900e+00,3,2.202447e+00,4.321178e-01,4.321178e-01,1,1.000000e+00,2.946699e-05,2.946699e-04,1.473349e-04,1.465366e-17,4.887497e-21,1.480882e+09,0.000000e+00,0.000000e+00,1961,0
1.903252e+00,1,2.596934e+00,6.917374e-01,6.917374e-01,1,1.000000e+00,1.524453e-05,1.524453e-04,7.622263e-05,7.817593e-18,4.887497e-21,7.427170e+08,0.000000e+00,0.000000e+00,2206,4
1.903252e+00,2,2.057699e+00,2.373709e-01,2.373709e-01,1,1.000000e+00,3.867501e-05,3.867501e-04,1.933751e-04,1.907953e-17,4.887497e-21,1.959395e+09,0.000000e+00,0.000000e+00,2206,0
1.903252e+00,3,2.220885e+00,4.497824e-01,4.497824e-01,1,1.000000e+00,2.850054e-05,2.850054e-04,1.425027e-04,1.418913e-17,4.887497e-21,1.430674e+09,0.000000e+00,0.000000e+00,2206,0
2.003604e+00,1,2.624789e+00,7.044527e-01,7.044527e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,2451,130
2.003604e+00,2,2.057765e+00,2.375036e-01,2.375036e-01,1,1.000000e+00,3.867004e-05,3.867004e-04,1.933502e-04,1.907714e-17,4.887497e-21,1.959137e+09,0.000000e+00,0.000000e+00,2451,0
2.003604e+00,3,2.239790e+00,4.669600e-01,4.669600e-01,1,1.000000e+00,2.755044e-05,2.755044e-04,1.377522e-04,1.373247e-17,4.887497e-21,1.381319e+09,0.000000e+00,0.000000e+00,2451,0
2.103956e+00,1,2.633040e+00,7.081317e-01,7.081317e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,2696,375
2.103956e+00,2,2.050278e+00,2.219161e-01,2.219161e-01,1,1.000000e+00,3.923799e-05,3.923799e-04,1.961899e-04,1.935012e-17,4.887497e-21,1.988658e+09,0.000000e+00,0.000000e+00,2696,0
2.103956e+00,3,2.246140e+00,4.725368e-01,4.725368e-01,1,1.000000e+00,2.724022e-05,2.724022e-04,1.362011e-04,1.358336e-17,4.887497e-21,1.365205e+09,0.000000e+00,0.000000e+00,2696,0
2.204308e+00,1,2.642218e+00,7.121788e-01,7.121788e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,2941,620
2.204308e+00,2,2.043996e+00,2.078557e-01,2.078557e-01,1,1.000000e+00,3.972261e-05,3.972261e-04,1.986131e-04,1.958306e-17,4.887497e-21,2.013848e+09,0.000000e+00,0.000000e+00,2941,0
2.204308e+00,3,2.253589e+00,4.789633e-01,4.789633e-01,1,1.000000e+00,2.688182e-05,2.688182e-04,1.344091e-04,1.341109e-17,4.887497e-21,1.346588e+09,0.000000e+00,0.000000e+00,2941,0
2.304660e+00,1,2.635356e+00,7.091574e-01,7.091574e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,3186,865
