time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.338612e+00,5.448439e-01,5.448439e-01,1,1.000000e+00,1.632120e-05,1.632120e-04,8.160600e-05,8.335100e-18,4.887497e-21,7.985072e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.013213e+00,1.146335e-01,1.146335e-01,1,1.000000e+00,2.971842e-05,2.971842e-04,1.485921e-04,1.477451e-17,4.887497e-21,1.493945e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.342561e+00,5.476193e-01,5.476193e-01,1,1.000000e+00,1.621142e-05,1.621142e-04,8.105710e-05,8.282334e-18,4.887497e-21,7.928175e+08,0.000000e+00,0.000000e+00,1,0
1.101665e+00,1,2.334324e+00,5.418051e-01,5.418051e-01,1,1.000000e+00,1.644146e-05,1.644146e-04,8.220731e-05,8.392904e-18,4.887497e-21,8.047404e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,2,2.015227e+00,1.230084e-01,1.230084e-01,1,1.000000e+00,2.959980e-05,2.959980e-04,1.479990e-04,1.471750e-17,4.887497e-21,1.487782e+09,0.000000e+00,0.000000e+00,63,0
1.101665e+00,3,2.349526e+00,5.524613e-01,5.524613e-01,1,1.000000e+00,1.602004e-05,1.602004e-04,8.010019e-05,8.190345e-18,4.887497e-21,7.828991e+08,0.000000e+00,0.000000e+00,63,0
1.203246e+00,1,2.331134e+00,5.395278e-01,5.395278e-01,1,1.000000e+00,1.653162e-05,1.653162e-04,8.265810e-05,8.436239e-18,4.887497e-21,8.094136e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,2,2.018517e+00,1.355566e-01,1.355566e-01,1,1.000000e+00,2.940727e-05,2.940727e-04,1.470364e-04,1.462496e-17,4.887497e-21,1.477780e+09,0.000000e+00,0.000000e+00,125,0
1.203246e+00,3,2.357565e+00,5.579678e-01,5.579678e-01,1,1.000000e+00,1.580265e-05,1.580265e-04,7.901323e-05,8.085855e-18,4.887497e-21,7.716338e+08,0.000000e+00,0.000000e+00,125,0
1.304827e+00,1,2.335466e+00,5.426170e-01,5.426170e-01,1,1.000000e+00,1.640933e-05,1.640933e-04,8.204663e-05,8.377458e-18,4.887497e-21,8.030747e+08,0.000000e+00,0.000000e+00,187,0
1.304827e+00,2,2.019430e+00,1.388311e-01,1.388311e-01,1,1.000000e+00,2.935414e-05,2.935414e-04,1.467707e-04,1.459942e-17,4.887497e-21,1.475020e+09,0.000000e+00,0.000000e+00,187,0
1.304827e+00,3,2.376127e+00,5.703615e-01,5.703615e-01,1,1.000000e+00,1.531461e-05,1.531461e-04,7.657307e-05,7.851281e-18,4.887497e-21,7.463479e+08,0.000000e+00,0.000000e+00,187,0
1.406408e+00,1,2.346337e+00,5.502524e-01,5.502524e-01,1,1.000000e+00,1.610732e-05,1.610732e-04,8.053660e-05,8.232298e-18,4.887497e-21,7.874224e+08,0.000000e+00,0.000000e+00,249,0
1.406408e+00,2,2.018506e+00,1.355167e-01,1.355167e-01,1,1.000000e+00,2.940791e-05,2.940791e-04,1.470396e-04,1.462527e-17,4.887497e-21,1.477813e+09,0.000000e+00,0.000000e+00,249,0
1.406408e+00,3,2.403594e+00,5.879360e-01,5.879360e-01,1,1.000000e+00,1.462649e-05,1.462649e-04,7.313246e-05,7.520533e-18,4.887497e-21,7.107053e+08,0.000000e+00,0.000000e+00,249,0
1.507988e+00,1,2.355249e+00,5.563901e-01,5.563901e-01,1,1.000000e+00,1.586490e-05,1.586490e-04,7.932452e-05,8.115779e-18,4.887497e-21,7.748599e+08,0.000000e+00,0.000000e+00,311,0
1.507988e+00,2,2.019074e+00,1.375620e-01,1.375620e-01,1,1.000000e+00,2.937488e-05,2.937488e-04,1.468744e-04,1.460939e-17,4.887497e-21,1.476097e+09,0.000000e+00,0.000000e+00,311,0
1.507988e+00,3,2.430186e+00,6.041552e-01,6.041552e-01,1,1.000000e+00,1.399673e-05,1.399673e-04,6.998367e-05,7.217838e-18,4.887497e-21,6.780977e+08,0.000000e+00,0.000000e+00,311,0
1.609569e+00,1,2.329897e+00,5.386403e-01,5.386403e-01,1,1.000000e+00,1.656676e-05,1.656676e-04,8.283382e-05,8.453130e-18,4.887497e-21,8.112351e+08,0.000000e+00,0.000000e+00,373,0
1.609569e+00,2,2.023412e+00,1.522696e-01,1.522696e-01,1,1.000000e+00,2.912375e-05,2.912375e-04,1.456187e-04,1.448868e-17,4.887497e-21,1.463050e+09,0.000000e+00,0.000000e+00,373,0
1.609569e+00,3,2.438623e+00,6.091496e-01,6.091496e-01,1,1.000000e+00,1.380403e-05,1.380403e-04,6.902015e-05,7.125215e-18,4.887497e-21,6.681225e+08,0.000000e+00,0.000000e+00,373,0
1.711150e+00,1,2.305386e+00,5.205741e-01,5.205741e-01,1,1.000000e+00,1.728265e-05,1.728265e-04,8.641323e-05,8.797222e-18,4.887497e-21,8.483474e+08,0.000000e+00,0.000000e+00,435,0
1.711150e+00,2,2.029013e+00,1.693126e-01,1.693126e-01,1,1.000000e+00,2.880350e-05,2.880350e-04,1.440175e-04,1.433475e-17,4.887497e-21,1.446413e+09,0.000000e+00,0.000000e+00,435,0
1.711150e+00,3,2.448085e+00,6.146679e-01,6.146679e-01,1,1.000000e+00,1.359185e-05,1.359185e-04,6.795925e-05,7.023229e-18,4.887497e-21,6.571404e+08,0.000000e+00,0.000000e+00,435,0
