flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,5188,2496,1841,2625792,1,9.9924447099999991,8.9924447099999991,2.3359983494410614,1324.2328306923077,2.8309440420841683,0.35485736314572092,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,5188,2516,1839,2646832,1,9.9874146970000002,8.9874146970000002,2.356034155970137,1317.0496245576312,2.7703105554671965,0.35447185813415577,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,5188,2062,1837,2169224,1,9.9992907819999992,8.9992907819999992,1.9283510690320533,1299.7381736925317,3.1417312692867543,0.35408635312259057,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,5188,5188,0,5457776,1,9.4984651299999996,8.4984651299999996,5.137658074970533,0.084329999999999988,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,5188,5188,0,5457776,1,9.4984651299999996,8.4984651299999996,5.137658074970533,0.084329999999999988,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,5188,5188,0,5457776,1,9.4984651299999996,8.4984651299999996,5.137658074970533,0.084329999999999988,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,5188,5188,0,5457776,1,9.5008499969999995,8.5008499969999995,5.1362167330806505,2.6026111002313028,0.20145719760940814,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,5188,5188,0,5457776,1,9.5007785689999995,8.5007785689999995,5.1362598902674703,2.5321330932922126,0.20100276845961054,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,5188,5188,0,5457776,1,9.5007071409999995,8.5007071409999995,5.1363030481795535,2.4616550871241327,0.20074112743396955,0,EXPECTED
