flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,10376,2296,4210,2415392,1,9.9890774489999998,8.9890774489999998,2.1496239307794176,2395.4190393196864,3.4897560671023964,0.40574402467232074,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,10376,2480,4208,2608960,1,9.9941254789999991,8.9941254789999991,2.3205902618028178,2394.3305823790324,3.2577673787817667,0.40555127216653819,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,10376,2296,4210,2415392,1,9.9992185060000001,8.9992185060000001,2.1472015583482933,2451.3354665566203,3.4872735311546843,0.40574402467232074,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,10376,10376,0,10915552,1,9.4992843300000001,8.4992843300000001,10.27432576784968,0.084329999999999988,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,10376,8569,0,9014588,1,8.2516427300000004,7.2516427300000004,9.9448782414022752,0.084330000000000002,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,10376,10376,0,10915552,1,9.4992843300000001,8.4992843300000001,10.27432576784968,0.084329999999999988,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,10376,10376,0,10915552,1,9.5018499970000008,8.5018499970000008,10.271225207550554,2.6026032914417883,0.23173072077108434,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,10376,10376,0,10915552,1,9.5017785690000007,8.5017785690000007,10.271311501620454,2.5321459363916734,0.23128322004819277,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,10376,10376,0,10915552,1,9.5017071410000007,8.5017071410000007,10.271397797140375,2.4616335100231304,0.23104225812048193,0,EXPECTED
