arm,factor,level,cases,mean_abs_gsnr_difference_db,max_abs_gsnr_difference_db,mean_abs_osnr_difference_db,max_abs_osnr_difference_db
historical,destination,bradley stoke,24,0.00013541666666642507,0.0004999999999988347,7.291666666657075e-05,0.0004999999999988347
historical,destination,froxfield,24,0.00012500000000015277,0.0004999999999997229,0.0,0.0
historical,destination,powergate,24,0.0001666666666666853,0.0004999999999997229,1.0416666666568375e-05,0.000249999999997641
historical,destination,reading,24,0.00016666666666672233,0.0004999999999997229,1.0416666666716404e-05,0.0002500000000011937
historical,modulation,16QAM,48,0.00015104166666683275,0.0004999999999997229,2.0833333333358794e-05,0.0004999999999988347
historical,modulation,QPSK,48,0.00014583333333315998,0.0004999999999997229,2.6041666666568968e-05,0.0004999999999988347
historical,launch_power_dbm,-4.5,32,0.00016406249999992295,0.0004999999999997229,5.468749999992806e-05,0.0004999999999988347
historical,launch_power_dbm,-5.0,32,0.00014062500000006084,0.0004999999999997229,7.812499999926281e-06,0.000249999999997641
historical,launch_power_dbm,-5.5,32,0.00014062500000000533,0.0004999999999997229,7.812500000037303e-06,0.0002500000000011937
historical,active_channels,1,24,0.0,0.0,0.0,0.0
historical,active_channels,2,24,3.7007434154171886e-16,1.7763568394002505e-15,0.0,0.0
historical,active_channels,4,24,0.00029166666666657903,0.0004999999999997229,4.166666666656956e-05,0.0004999999999988347
historical,active_channels,8,24,0.0003020833333330364,0.0004999999999997229,5.2083333333285964e-05,0.0002500000000011937
strict,destination,bradley stoke,24,0.01722916666666663,0.03399999999999892,7.291666666657075e-05,0.0004999999999988347
strict,destination,froxfield,24,0.8303645833333334,1.4292499999999997,0.00010416666666671996,0.002500000000001279
strict,destination,powergate,24,0.8332395833333334,1.4344999999999999,0.483270833333334,0.9284999999999997
strict,destination,reading,24,0.8317291666666665,1.4304999999999999,0.3507395833333331,0.6849999999999987
strict,modulation,16QAM,48,0.5793697916666667,1.1514999999999995,0.19106250000000014,0.7387499999999996
strict,modulation,QPSK,48,0.6769114583333332,1.4344999999999999,0.22603125000000004,0.9284999999999997
strict,launch_power_dbm,-4.5,32,0.6285703125000001,1.4320000000000004,0.22929687500000007,0.9284999999999997
strict,launch_power_dbm,-5.0,32,0.6280312499999996,1.4314999999999998,0.2079765625000003,0.8512500000000003
strict,launch_power_dbm,-5.5,32,0.6278203125000003,1.4344999999999999,0.18836718749999992,0.771250000000002
strict,active_channels,1,24,0.32249999999999995,0.4300000000000015,0.1033333333333335,0.2699999999999996
strict,active_channels,2,24,0.49833333333333335,0.6950000000000012,0.16208333333333322,0.4399999999999977
strict,active_channels,4,24,0.7177291666666665,1.0350000000000001,0.23806250000000015,0.6625000000000014
strict,active_channels,8,24,0.9740000000000001,1.4344999999999999,0.33070833333333355,0.9284999999999997
