flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,2076,2075,0,2182900,1,9.5058810489999992,8.5058810489999992,2.0530736204044464,4.793526080963856,1.94516131147541,0,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,2076,2076,0,2183952,1,9.5041950190000009,8.5041950190000009,2.054470289188461,4.7698115616570327,1.9747309407228917,0,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,2076,2076,0,2183952,1,9.5026659939999991,8.5026659939999991,2.054839742303066,4.7491284397880538,1.9857803045783131,0,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,2076,2076,0,2183952,1,9.4992843300000001,8.4992843300000001,2.0556573143847277,0.084329999999999988,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,2076,1714,0,1803128,1,8.2500043299999994,7.2500043299999994,1.9896572944529538,0.084330000000000016,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,2076,2076,0,2183952,1,9.4992843300000001,8.4992843300000001,2.0556573143847277,0.084329999999999988,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,2076,2076,0,2183952,1,9.5018499970000008,8.5018499970000008,2.0550369632685954,2.603509937379576,0.15647077493975906,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,2076,2076,0,2183952,1,9.5017785690000007,8.5017785690000007,2.0550542287359352,2.5320991406551059,0.15648798650602408,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,2076,2076,0,2183952,1,9.5017071410000007,8.5017071410000007,2.0550714944933901,2.4606883439306357,0.15650519807228916,0,EXPECTED
