flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,5188,2496,1841,2625792,1,9.9924739290000009,8.9924739290000009,2.3359907591454081,1324.2362826298076,2.8309527987975955,0.35485736314572092,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,5188,2516,1839,2646832,1,9.9874438849999994,8.9874438849999994,2.3560265044147202,1317.0581964892688,2.7690165697813125,0.35447185813415577,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,5188,2062,1837,2169224,1,9.9993200739999999,8.9993200739999999,1.9283447924179256,1299.7451297938894,3.1401500984958757,0.35408635312259057,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,5188,786,0,826872,1,3.9557579299999999,2.9557579299999999,2.2379965330922751,0.084330000000000016,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,5188,1383,0,1454916,1,4.62094833,3.62094833,3.2144418918013118,0.084330000000000002,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,5188,1147,0,1206644,1,4.5226443300000003,3.5226443300000003,2.7403141207843706,0.084330000000000002,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,5188,5188,0,5457776,1,9.5008499969999995,8.5008499969999995,5.1362167330806505,2.6026111002313028,0.20145719760940814,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,5188,5188,0,5457776,1,9.5007785689999995,8.5007785689999995,5.1362598902674703,2.5321330932922126,0.20100276845961054,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,5188,5188,0,5457776,1,9.5007071409999995,8.5007071409999995,5.1363030481795535,2.4616550871241327,0.20074112743396955,0,EXPECTED
