time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,3.065100e+00,8.599079e-01,8.599079e-01,1,1.000000e+00,3.675721e-06,3.675721e-05,1.837860e-05,2.257012e-18,4.887497e-21,1.493316e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.382213e+00,5.743315e-01,5.743315e-01,1,1.000000e+00,1.007393e-05,1.007393e-04,5.036966e-05,5.332331e-18,4.887497e-21,4.753604e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.086574e+00,2.890717e-01,2.890717e-01,1,1.000000e+00,1.711534e-05,1.711534e-04,8.557672e-05,8.716808e-18,4.887497e-21,8.396734e+08,0.000000e+00,0.000000e+00,1,0
1.101665e+00,1,3.176651e+00,8.897660e-01,8.897660e-01,1,1.000000e+00,3.185979e-06,3.185979e-05,1.592990e-05,2.021616e-18,4.887497e-21,1.252214e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,2,2.411157e+00,5.926251e-01,5.926251e-01,1,1.000000e+00,9.598846e-06,9.598846e-05,4.799423e-05,5.103980e-18,4.887497e-21,4.508721e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,3,2.053539e+00,2.288468e-01,2.288468e-01,1,1.000000e+00,1.824356e-05,1.824356e-04,9.121780e-05,9.259088e-18,4.887497e-21,8.981768e+08,0.000000e+00,0.000000e+00,63,0
1.203246e+00,1,3.312571e+00,9.225860e-01,9.225860e-01,1,1.000000e+00,2.694390e-06,2.694390e-05,1.347195e-05,1.785333e-18,4.887497e-21,1.013805e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,2,2.477530e+00,6.313091e-01,6.313091e-01,1,1.000000e+00,8.610833e-06,8.610833e-05,4.305417e-05,4.629089e-18,4.887497e-21,4.000153e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,3,2.065426e+00,2.523705e-01,2.523705e-01,1,1.000000e+00,1.782717e-05,1.782717e-04,8.913586e-05,9.058949e-18,4.887497e-21,8.765825e+08,0.000000e+00,0.000000e+00,125,0
1.304827e+00,1,3.375856e+00,9.367093e-01,9.367093e-01,1,1.000000e+00,2.497958e-06,2.497958e-05,1.248979e-05,1.690917e-18,4.887497e-21,9.198872e+07,0.000000e+00,0.000000e+00,187,0
1.304827e+00,2,2.457266e+00,6.199412e-01,6.199412e-01,1,1.000000e+00,8.898404e-06,8.898404e-05,4.449202e-05,4.767311e-18,4.887497e-21,4.148067e+08,0.000000e+00,0.000000e+00,187,0
1.304827e+00,3,2.095897e+00,3.036704e-01,3.036704e-01,1,1.000000e+00,1.681285e-05,1.681285e-04,8.406424e-05,8.571412e-18,4.887497e-21,8.239914e+08,0.000000e+00,0.000000e+00,187,0
1.406408e+00,1,3.384649e+00,9.386184e-01,9.386184e-01,1,1.000000e+00,2.472102e-06,2.472102e-05,1.236051e-05,1.678489e-18,4.887497e-21,9.075937e+07,0.000000e+00,0.000000e+00,249,0
1.406408e+00,2,2.367178e+00,5.644406e-01,5.644406e-01,1,1.000000e+00,1.033231e-05,1.033231e-04,5.166157e-05,5.456523e-18,4.887497e-21,4.886864e+08,0.000000e+00,0.000000e+00,249,0
1.406408e+00,3,2.147861e+00,3.732174e-01,3.732174e-01,1,1.000000e+00,1.524392e-05,1.524392e-04,7.621958e-05,7.817300e-18,4.887497e-21,7.426854e+08,0.000000e+00,0.000000e+00,249,0
1.507988e+00,1,3.406587e+00,9.433272e-01,9.433272e-01,1,1.000000e+00,2.409035e-06,2.409035e-05,1.204518e-05,1.648176e-18,4.887497e-21,8.776811e+07,0.000000e+00,0.000000e+00,311,0
1.507988e+00,2,2.321287e+00,5.324005e-01,5.324005e-01,1,1.000000e+00,1.117393e-05,1.117393e-04,5.586963e-05,5.861047e-18,4.887497e-21,5.321259e+08,0.000000e+00,0.000000e+00,311,0
1.507988e+00,3,2.225118e+00,4.537064e-01,4.537064e-01,1,1.000000e+00,1.323454e-05,1.323454e-04,6.617270e-05,6.851487e-18,4.887497e-21,6.386504e+08,0.000000e+00,0.000000e+00,311,0
1.609569e+00,1,3.288240e+00,9.169698e-01,9.169698e-01,1,1.000000e+00,2.775027e-06,2.775027e-05,1.387514e-05,1.824091e-18,4.887497e-21,1.052606e+08,0.000000e+00,0.000000e+00,373,0
1.609569e+00,2,2.398787e+00,5.849225e-01,5.849225e-01,1,1.000000e+00,9.798387e-06,9.798387e-05,4.899194e-05,5.199890e-18,4.887497e-21,4.611551e+08,0.000000e+00,0.000000e+00,373,0
