flow_id,branch,cpe_id,source_ip,destination_ip,source_port,destination_port,tx_packets,rx_packets,lost_packets,rx_bytes,first_tx_s,last_rx_s,duration_s,throughput_mbps,mean_delay_ms,mean_jitter_ms,flowmonitor_loss_ratio,mapping_status
5,WiFi80211ax,1,10.20.0.1,10.20.0.2,49153,5000,2076,2076,0,2183952,1,9.5041657920000002,8.5041657920000002,2.0544773499636872,4.7677979677263966,1.9568040645783134,0,EXPECTED
6,WiFi80211ax,2,10.20.0.1,10.20.0.3,49154,5001,2076,2076,0,2183952,1,9.5055668349999998,8.5055668349999998,2.0541389349978578,4.7590456854527936,1.9771438925301206,0,EXPECTED
7,WiFi80211ax,3,10.20.0.1,10.20.0.4,49155,5002,2076,2076,0,2183952,1,9.5026907479999991,8.5026907479999991,2.0548337600199877,4.7393467856454716,1.9820808708433733,0,EXPECTED
8,LiFi,1,10.30.0.1,10.30.0.2,49153,6000,2076,314,0,330328,1,3.9533003299999998,2.9533003299999998,0.89480367883885348,0.084330000000000002,0,0,EXPECTED
9,LiFi,2,10.30.1.1,10.30.1.2,49154,6001,2076,554,0,582808,1,4.62094833,3.62094833,1.2876361591163605,0.084330000000000002,0,0,EXPECTED
10,LiFi,3,10.30.2.1,10.30.2.2,49155,6002,2076,459,0,482868,1,4.5226443300000003,3.5226443300000003,1.0966034711770063,0.084330000000000002,0,0,EXPECTED
11,NR,1,1.0.0.2,7.0.0.2,49153,4000,2076,2076,0,2183952,1,9.5018499970000008,8.5018499970000008,2.0550369632685954,2.603509937379576,0.15647077493975906,0,EXPECTED
12,NR,2,1.0.0.2,7.0.0.3,49154,4001,2076,2076,0,2183952,1,9.5017785690000007,8.5017785690000007,2.0550542287359352,2.5320991406551059,0.15648798650602408,0,EXPECTED
13,NR,3,1.0.0.2,7.0.0.4,49155,4002,2076,2076,0,2183952,1,9.5017071410000007,8.5017071410000007,2.0550714944933901,2.4606883439306357,0.15650519807228916,0,EXPECTED
